,OFFER,RETAILER,BRAND,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO
293,Spend $130 at ACME,ACME,ACME,Medicines & Treatments,Health & Wellness
294,Spend $140 at Shaws,SHAWS,SHAWS,Cooking & Baking,Pantry
295,Spend $15 at Burger King,BURGER KING,BURGER KING,Cooking & Baking,Pantry
296,Spend $15 at KFC,KFC,KFC,,
297,Spend $15 at Nekter,NEKTER JUICE BAR,NEKTER,,
298,Spend $15 at Subway,SUBWAY,SUBWAY,Cooking & Baking,Pantry
299,Spend $150 at Vons,VONS,VONS,Spirits,Alcohol
300,Spend $155 at Pavilions,PAVILIONS,PAVILIONS,Cooking & Baking,Pantry
301,Spend $185 at Shaws,SHAWS,SHAWS,Cooking & Baking,Pantry
302,Spend $20 at Dickey's Barbecue Pit,DICKEYS BARBECUE PIT,DICKEYS BARBECUE PIT,,
303,Spend $20 at Farmer Boys,FARMER BOYS,FARMER BOYS,,
304,Spend $20 at KFC,KFC,KFC,,
305,Spend $20 at Zaxby's,ZAXBYS,ZAXBYS,,
306,Spend $210 at Randalls,RANDALLS,RANDALLS,,
307,Spend $210 at Randalls,RANDALLS FOOD MARKETS,RANDALLS,,
308,Spend $210 at Safeway,SAFEWAY,SAFEWAY,Candy,Snacks
309,Spend $220 at Albertsons,ALBERTSONS,ALBERTSONS,Candy,Snacks
310,Spend $220 at Star Market,STAR MARKET,STAR MARKET,Cooking & Baking,Pantry
311,Spend $220 at Tom Thumb,TOM THUMB,TOM THUMB,,
312,Spend $25 at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,"Cooking & Baking, Frozen Pizza & Pizza Snacks",
313,Spend $25 at Fresh Thyme Market,FRESH THYME MARKET,FRESH THYME MARKET,,
314,Spend $25 at KFC,KFC,KFC,,
315,Spend $25 at Subway,SUBWAY,SUBWAY,Cooking & Baking,Pantry
316,Spend $25 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,"Spirits, Malt Beverages",
317,Spend $250 at ACME,ACME,ACME,Medicines & Treatments,Health & Wellness
318,Spend $270 at Pavilions,PAVILIONS,PAVILIONS,Cooking & Baking,Pantry
319,Spend $275 at Vons,VONS,VONS,Spirits,Alcohol
320,Spend $30 at CVS,CVS,CVS,"Medicines & Treatments, Fruit Juices, Cooking & Baking, Skin Care",
321,Spend $30 at Dickey's Barbecue Pit,DICKEYS BARBECUE PIT,DICKEYS BARBECUE PIT,,
322,Spend $300 at Shaws,SHAWS,SHAWS,Cooking & Baking,Pantry
323,Spend $35 at Fresh Thyme Market,FRESH THYME,FRESH THYME MARKET,,
324,Spend $35 at Subway,SUBWAY,SUBWAY,Cooking & Baking,Pantry
325,Spend $35 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,"Spirits, Malt Beverages",
326,Spend $40 at Dickey's Barbecue Pit,DICKEYS BARBECUE PIT,DICKEYS BARBECUE PIT,,
327,Spend $40 at Farmer Boys,FARMER BOYS,FARMER BOYS,,
328,Spend $40 at KFC,KFC,KFC,,
329,Spend $45 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,"Spirits, Malt Beverages",
330,Spend $45 at Zaxby's,ZAXBYS,ZAXBYS,,
331,Spend $5 in-store at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,"Cooking & Baking, Frozen Pizza & Pizza Snacks",
332,Spend $5 on brisket mac & cheese sandwich OR other single-serve prepared food item,CASEYS GENERAL STORE,CASEYS GENERAL STORE,"Cooking & Baking, Frozen Pizza & Pizza Snacks",
333,Spend $5 on single-serve prepared food items at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,"Cooking & Baking, Frozen Pizza & Pizza Snacks",
334,Spend $50 at Chewy.com,CHEWY,CHEWY,,
335,Spend $50 at Fresh Thyme Market,FRESH THYME MARKET,FRESH THYME MARKET,,
336,Spend $50 on a Full-Priced new Club Membership,SAMS CLUB,SAMS CLUB,,
337,Spend $60 at TGI Friday's,TGI FRIDAYS,TGI FRIDAYS,"Spirits, Malt Beverages",
338,Spend $65 at Albertsons,ALBERTSONS,ALBERTSONS,Candy,Snacks
339,Spend $75 at Randalls,RANDALLS,RANDALLS,,
340,Spend $90 at ACME,ACME,ACME,Medicines & Treatments,Health & Wellness
341,Spend $90 at Safeway,SAFEWAY,SAFEWAY,Candy,Snacks
342,Spend $90 at Star Market,STAR MARKET,STAR MARKET,Cooking & Baking,Pantry
343,Spend $90 at Tom Thumb,TOM THUMB,TOM THUMB,,
344,"Squirrel, The Bedside Perch, online at Amazon",AMAZON,SQUIRREL,,
345,"Starry™ Lemon Lime Soda multipacks, at Kroger",DILLONS GROCERY,STARRY,Carbonated Soft Drinks,Beverages
346,"Starry™ Lemon Lime Soda, 7.5-ounce 10 pack, at Amazon Storefront*",AMAZON,STARRY,Carbonated Soft Drinks,Beverages
347,"Stubborn Soda OR Bundaberg Ginger Beer, select varieties, at Amazon Storefront*",AMAZON,STUBBORN SODA,Carbonated Soft Drinks,Beverages
348,"Super Coffee, 12 ounce single serve",,SUPER COFFEE,Coffee,Beverages
349,"Super Coffee, 12 ounce single serve, buy 3",,SUPER COFFEE,Coffee,Beverages
350,"TWIX®, select sizes",,TWIX,"Candy, Cookies",
351,"TWIX®, select varieties",,TWIX,"Candy, Cookies",
352,Talenti Mini Bars,,TALENTI,"Frozen Desserts, Frozen Meals",
353,The Rustik Oven® bread,,RUSTIK OVEN,Bread,Pantry
354,Thomas'® Bagel Thins,,THOMAS,"Bread, Frozen Breakfast, Bakery",
355,"Thomas'® Bagel Thins®, buy 2",,THOMAS,"Bread, Frozen Breakfast, Bakery",
356,"Thomas'®, select varieties, spend $10",,THOMAS,"Bread, Frozen Breakfast, Bakery",
357,Tostitos® Toppers™,,TOSTITOS,"Chips, Dips & Salsa, Sauces & Marinades",
358,"Tru-Ray® Premium Construction Paper, spend $10",,TRURAY,,
359,"Tyson Products, select varieties, spend $15 at Walmart",WALMART,AIDELLS,Packaged Meat,Pantry
360,"Tyson Products, select varieties, spend $20 at Sam's Club",SAMS CLUB,BALL PARK FRANK,"Packaged Meat, Frozen Beef",
361,Visit OR order online from Casey's 3 times,CASEYS GENERAL STORE,CASEYS GENERAL STORE,"Cooking & Baking, Frozen Pizza & Pizza Snacks",
